species_id,hook,hook_hi
FLR-0001,"The roadside invader that poisons the soil around it, so that little native grows back where it has settled.","सड़क किनारे का यह आक्रमणकारी अपने आसपास की मिट्टी में ज़हर घोल देता है, ताकि जहाँ यह जम जाए वहाँ देसी पौधे मुश्किल से उगें।"
FLR-0002,"Toxic latex and star-shaped flowers; the only plant the Plain Tiger butterfly will lay its eggs on.","ज़हरीला दूध और तारे जैसे फूल; प्लेन टाइगर तितली अपने अंडे सिर्फ़ इसी पौधे पर देती है।"
INS-0007,"The native bee behind the mustard and lentil harvest: smaller colonies than its European cousin, and quick to leave a disturbed hive.","सरसों और मसूर की फ़सल के पीछे की देसी मक्खी: यूरोपीय मक्खी से छोटे छत्ते, और छेड़े जाने पर छत्ता छोड़ने में तेज़।"
BRD-0005,"A forked tail on a wire, looping out for grasshoppers and termites; it will dive at a kite twice its size.","तार पर बैठी दोफाड़ पूँछ, टिड्डों और दीमकों पर झपट्टा मारती; अपने से दुगुनी चील पर भी टूट पड़ती है।"
FLR-0006,"Figs in the lean months when nothing else fruits, which is why so many birds and bats depend on this one tree.","जब कोई और पेड़ नहीं फलता, तब भी इसके फल मिलते हैं; इसीलिए इतने पक्षी और चमगादड़ इसी एक पेड़ पर टिके हैं।"
FLR-0013,"A beautiful floating invader that clogs canals and starves ponds of oxygen; the fishers of Basti pay for it.","सुंदर पर आक्रमणकारी: नहरें जाम करती है और तालाबों की ऑक्सीजन छीन लेती है; इसकी कीमत बस्ती के मछुआरे चुकाते हैं।"
INS-0002,"The dragonfly that migrates across oceans with the monsoon, catching mosquitoes on nine attempts out of ten.","मानसून के साथ समुद्र पार कर आने वाली व्याधपतंग, जो दस में से नौ झपट्टों में मच्छर पकड़ लेती है।"
REP-0009,"The paddy field's water snake: non-venomous, harmless to people, and a steady predator of frogs, rodents and insects.","धान के खेत का पानी साँप: विषहीन, इंसान के लिए हानिरहित, और मेंढकों, चूहों व कीड़ों का पक्का शिकारी।"
BRD-0002,"The tallest flying bird on Earth, foraging in paddy and wetland; Vulnerable, and a sign that the wetland still works.","धरती का सबसे ऊँचा उड़ने वाला पक्षी, धान और दलदल में चरता हुआ; IUCN की सूची में असुरक्षित, और इस बात का संकेत कि आर्द्रभूमि अभी ज़िंदा है।"
SFL-0001,"Called a pest, it recycles cellulose, aerates the soil metres deep, and leaves mound earth richer than the field around it.","जिसे कीट कहते हैं, वही सेल्यूलोज़ को मिट्टी में लौटाती है, कई मीटर गहराई तक मिट्टी में हवा भरती है, और बाँबी की मिट्टी को आसपास के खेत से ज़्यादा उपजाऊ छोड़ती है।"
FNG-0001,"Grows only from a termite nest, after the first rains; a spike on the cap and a long false root give it away.","पहली बारिश के बाद सिर्फ़ दीमक की बाँबी से उगता है; टोपी पर नोक और लंबी नकली जड़ इसकी पहचान है।"
MAM-0011,"An antelope with 'cow' in its name: raids wheat and sugarcane at night, and is protected all the same.","नाम में 'गाय' वाला मृग: रात में गेहूँ और गन्ना उजाड़ता है, फिर भी संरक्षित है।"
